	15510*29031.743*1
3072	15029*54234*001|15070*68646*001|15078*71988*001|15104*31884*001|15167*39240*001|15350*63900*001|15370*26100*001
3575	15146*67740*001|15333*47691*001
39	14350*56400*001|14595*36000*001|14676*38568*001|14711*58620*001|15194*32128*001|15242*46650*001|15352*70200*001
4078	15232*57744*001|15272*27800*001|15323*28728*001|15328*64449*001|15336*57101*001
4581	15339*70182*001|15350*65700*001|15360*46800*001
772	14553*58625*001|14584*41910*001|14829*55380*001|15091*30213*001
1061	14606*31884*001|14624*61200*001|14725*60848*001|14947*58108*001|15360*48600*001
1564	14711*43024*001|14769*58620*001|14923*54164*001|14958*48582*001|15003*29328*001|15015*49395*001|15118*71988*001|15287*51936*001|15327*62244*001
2067	14842*67452*001|14981*59600*001|15193*33860*001|15201*32128*001|15354*58500*001
2570	14955*71098*001|14983*60976*001|15023*31884*001|15212*60900*001|15323*37989*001
270	14422*56400*001|14967*65902*001|14991*71984*001|15334*52542*001
3073	15029*59073*001|15175*71988*001|15323*71505*001
3576	15147*52851*001|15333*30051*001|15351*43743*001|15360*59400*001
40	14350*72000*001|14460*59232*001|14786*31884*001|15044*67452*001|15092*68751*001|15356*49500*001
4079	15232*65880*001
4582	15339*71505*001|15347*71999*001
773	14553*65310*001|14656*66800*001|14925*54164*001|15079*34878*001|15133*55710*001|15349*66701*001
1062	14606*41910*001|14770*67740*001|14789*31581*001|14918*51936*001|14953*48582*001|15024*66975*001|15138*45540*001|15388*41910*001
1565	14711*51936*001|14799*69075*001|14958*71098*001|15015*51008*001|15025*28426*001
2068	14842*71979*001|14999*43088*001|15070*35226*001|15205*35592*001|15217*65036*001|15331*36999*001|15341*64449*001|15376*46800*001
2571	14956*27798*001
271	14422*64200*001|14469*71994*001|14474*71994*001|14487*67740*001|14543*72000*001|14780*60848*001|14830*62925*001|15266*36208*001|15295*39240*001|15364*30600*001
3074	15029*65525*001|15075*36491*001
3577	15147*57105*001|15333*49896*001
4080	15233*27150*001
41	14351*40800*001|14440*56400*001|14523*31050*001|14581*38568*001|14589*65304*001|14724*46260*001|14800*52720*001|14876*66150*001|14965*31262*001|15129*59232*001
4583	15340*26964*001
774	14553*71995*001|14583*61962*001|14728*57960*001|14743*68646*001|14860*36900*001|14950*61572*001|14995*70608*001|15007*48592*001|15045*47835*001
1063	14606*55278*001|14781*61359*001|14822*30704*001|14926*27327*001|15014*43581*001|15038*37272*001|15168*69760*001|15324*52983*001|15334*64890*001
1566	14711*54164*001|14855*47574*001|14868*46650*001|15036*64200*001|15048*28218*001|15167*60300*001|15266*63728*001
2069	14843*32745*001|15127*51936*001|15208*30300*001
2572	14956*40788*001|15187*47480*001|15321*66278*001|15352*68400*001
272	14423*33000*001|14456*43920*001|14527*60300*001|14781*54978*001|14864*66150*001|14910*59232*001|15016*53607*001|15037*52362*001|15045*71979*001|15208*66850*001|15333*54306*001
3075	15030*28542*001|15319*57834*001|15338*61803*001
3578	15147*59232*001|15363*30498*001
4081	15233*31050*001|15316*30881*001|15344*69300*001
42	14351*56400*001|14436*34560*001|14442*64200*001|14472*54978*001|14823*42750*001|15199*39922*001
4584	15340*30492*001
775	14554*31885*001|14657*44904*001|14786*43024*001|14865*52500*001|14916*34112*001|15062*56889*001|15165*46260*001|15326*30881*001|15326*62345*001|15333*39312*001
1064	14606*58620*001|14727*56392*001|14747*39600*001|14819*63728*001|14943*49708*001|14970*28664*001|14980*70576*001|15219*63304*001|15269*46000*001
1567	14711*71988*001|14746*48594*001|14851*34254*001|15067*41910*001|15086*30213*001|15137*29454*001|15194*58108*001|15271*71984*001|15322*26523*001
2070	14843*43308*001
2573	14956*47716*001|15139*63486*001|15324*37989*001|15340*29610*001
273	14423*40800*001|14545*66150*001|14653*46000*001|14760*41910*001|14821*44464*001|14863*66150*001|14901*29454*001|14952*34726*001|14957*63304*001|15002*42216*001|15068*71988*001|15214*65036*001
3076	15030*30213*001|15322*51660*001
3579	15147*63486*001|15219*38190*001
4082	15233*33000*001|15364*50400*001
43	14351*72000*001|14501*51200*001|14922*37962*001|15201*54644*001|15260*71984*001|15303*34560*001|15351*56105*001
4585	15340*31374*001
776	14554*45255*001|14633*54000*001|14831*70470*001|14857*38850*001|15375*48594*001
1065	14606*61962*001|14652*39978*001|14725*65304*001|14830*53871*001|14837*70522*001|15008*71988*001|15086*28542*001|15193*59840*001|15316*58849*001
1568	14712*43920*001|14812*58224*001|15319*61362*001
2071	14843*46326*001|14872*40800*001|14933*34112*001|14955*47716*001|15030*50265*001|15053*38781*001|15334*71946*001|15354*52200*001|15379*43200*001
2574	14956*49448*001|15151*57105*001|15333*60921*001
274	14423*48600*001|14479*46470*001|14826*35763*001|14869*52500*001|14898*37962*001|15069*41910*001|15238*58350*001|15247*63846*001|15320*49455*001|15328*27405*001
3077	15030*31884*001|15210*65036*001
3580	15147*67740*001
4083	15233*44700*001
44	14352*48600*001|14405*56400*001|14477*42216*001|14729*69760*001|14745*57600*001|14946*71999*001|14966*67634*001|15011*36491*001|15129*48597*001|15130*29454*001|15212*64300*001|15319*59157*001
4586	15340*37989*001
777	14554*51940*001|14587*48594*001|14765*40796*001|14960*39922*001|15092*33265*001|15205*29530*001
1066	14606*65304*001|14839*41799*001|14877*39438*001|14930*43024*001|14951*40788*001|15163*31884*001|15192*32000*001|15380*48594*001
1569	14713*43024*001|14818*44464*001|14854*67452*001|14958*60706*001|15025*57460*001|15212*51550*001|15249*56400*001|15313*60039*001
2072	14843*49344*001|14949*32128*001|14957*41654*001
2575	14956*50314*001|14980*26618*001|14998*40798*001|15147*65613*001|15163*54164*001|15231*70050*001|15303*62640*001|15316*25637*001|15322*48573*001|15327*33579*001
275	14423*64200*001|14475*67740*001|14604*31884*001|14644*54756*001|14670*33000*001|14769*36340*001|14821*27952*001|15340*39312*001
3078	15030*40239*001|15045*61416*001|15192*31150*001|15371*63169*001|15384*28800*001
3581	15148*27234*001|15229*50550*001|15360*63000*001
4084	15233*46650*001
4587	15340*40194*001
45	14352*72000*001|14383*72000*001|14484*42216*001|14535*54450*001|14554*71995*001|14740*32400*001|14740*57600*001|14958*46850*001|14960*36458*001|15055*49344*001|15264*38960*001|15354*63900*001|15390*38568*001
778	14554*58625*001|14584*31884*001|14652*67071*001|14711*49708*001|14850*61750*001|15040*40290*001|15281*32220*001|15308*31884*001|15317*32256*001|15341*29169*001
1067	14606*68646*001|14837*35434*001|14845*34254*001|14857*34950*001|14887*50724*001|15091*71988*001
1570	14713*45252*001|14918*63076*001|14943*34112*001|15211*71964*001|15267*43400*001|15310*46260*001|15321*33066*001
2073	14843*68961*001|15204*69400*001|15322*60039*001
2576	14956*52046*001|15259*36208*001
276	14423*72000*001|14480*50724*001|14502*51200*001|14509*66800*001|14669*64200*001|14724*43920*001|14737*28800*001|14790*51936*001|14843*71979*001|15050*61416*001|15309*53280*001
3079	15030*41910*001|15141*57105*001|15227*44700*001|15357*71116*001|15370*69300*001
3582	15148*45540*001|15193*29530*001|15278*30400*001|15320*49014*001|15326*41806*001|15341*55629*001
4085	15233*62250*001|15327*52101*001|15330*34020*001
4588	15340*45045*001
779	14555*31885*001|14989*29328*001|14998*64904*001|15008*51936*001|15035*31884*001|15196*35400*001|15202*32994*001|15324*35784*001
46	14353*40800*001|14606*35226*001|14773*56392*001|14780*45252*001|14934*57105*001|14956*41654*001|14998*66322*001|15040*55380*001|15153*33336*001|15169*48600*001|15261*48600*001
1068	14607*28542*001|14772*36340*001|14782*51936*001|14809*66480*001|14942*46470*001|15153*57744*001|15296*67320*001
1571	14713*56392*001|14837*58826*001|14941*61359*001|14951*52912*001|14971*32994*001|15023*53607*001|15074*31884*001|15083*51936*001|15282*72000*001|15359*67584*001
2074	14844*32745*001|14879*62250*001|15012*43581*001|15091*50265*001|15170*67532*001|15291*55620*001|15314*69300*001|15323*29610*001|15332*59598*001
2577	14956*59840*001|15024*65304*001|15036*45480*001|15086*38568*001|15176*27428*001
277	14424*40800*001|14472*46470*001|14503*30400*001|14560*65310*001|14712*36900*001|14770*42216*001|14937*57105*001|14968*26066*001|14974*39056*001
3080	15030*45252*001
3583	15148*53676*001|15160*43920*001|15222*45540*001|15331*62345*001
4086	15233*66150*001|15312*35784*001|15330*52542*001|15332*47250*001|15392*64800*001
4589	15340*45927*001
47	14353*56400*001|14455*64200*001|14677*51936*001|14702*34560*001|14718*69760*001|14736*48594*001|14762*41910*001|15038*71979*001|15118*61962*001|15197*39056*001|15203*29530*001|15355*56988*001
780	14555*38570*001|14658*59000*001|14716*36900*001|14794*27952*001|14921*50724*001|15142*71994*001|15201*61572*001
1069	14607*35226*001|14817*60300*001|14832*33972*001|14871*70050*001|14953*64170*001|15044*41799*001|15202*51180*001|15314*36225*001
1572	14713*63076*001|14794*44464*001|14843*44817*001|14949*26066*001|14949*29530*001|14993*30704*001|15064*44817*001|15127*58620*001|15189*46850*001|15332*61362*001
2075	14844*37272*001|14863*72000*001|14976*57871*001|15317*38871*001
2578	14956*62438*001|14978*60650*001|15112*39600*001|15198*52912*001
278	14424*72000*001|14475*54978*001|14481*33708*001|14487*63486*001|14846*45668*001|15014*51936*001|15364*36000*001
3081	15030*65304*001|15317*41517*001|15327*48132*001
3584	15148*55710*001|15197*68500*001|15311*34461*001
4087	15234*41472*001|15335*34902*001
4590	15340*47250*001
48	14353*72000*001|14368*60300*001|14459*46470*001|14594*55278*001|14844*52362*001|15154*69867*001|15333*41958*001
781	14555*45255*001|14851*71979*001|14948*44252*001|14976*31381*001|15339*43722*001|15344*38700*001
1070	14607*48594*001|14722*27428*001|14733*28800*001|14865*40800*001|15218*52046*001|15263*38200*001|15328*59598*001
1573	14713*69760*001|14794*69232*001|14950*44252*001|14973*42520*001|15220*59778*001|15318*38871*001|15325*33138*001|15331*56664*001
2076	14844*49344*001|15155*65613*001|15177*34560*001|15236*29100*001|15365*46392*001
2579	14957*26932*001|14980*52142*001|15130*31581*001|15325*51219*001
279	14425*64200*001|14460*37962*001|14498*72000*001|14538*54450*001|14610*46800*001|14782*45252*001|14819*38960*001|14872*31050*001|14969*46850*001|15237*51642*001|15339*27846*001|15364*31500*001
3082	15031*31884*001|15048*34254*001|15117*28542*001|15339*63126*001|15370*51300*001
3585	15148*67914*001|15362*35100*001
4088	15234*45540*001
4591	15340*50778*001|15374*46800*001
782	14555*58625*001|14669*35600*001|14732*57600*001|14789*61359*001|14932*27327*001|15027*58620*001|15217*26932*001|15317*59157*001
49	14354*40800*001|14486*54978*001|14546*66150*001|14775*71988*001|14834*68961*001|14926*29454*001|14972*65036*001|15273*27952*001|15329*25641*001
1071	14607*55278*001|14679*41910*001|15045*41799*001|15050*31236*001|15076*30213*001|15081*46923*001|15383*48594*001
1574	14714*27540*001|14870*33336*001|15028*41910*001|15370*43200*001
2077	14844*61416*001|14911*59232*001|15166*43024*001
2580	14957*32128*001|14993*33456*001|15194*47716*001
280	14425*72000*001|14507*30400*001|14512*56400*001|14512*66800*001|14694*28800*001|14697*45252*001|14739*61962*001|14846*35434*001|14850*36896*001|14873*27234*001|14958*40788*001|14974*47716*001|15039*34254*001|15068*50265*001|15121*50400*001|15173*49708*001|15195*30396*001|15203*65036*001
3083	15031*43581*001|15055*62925*001|15061*42360*001|15197*63304*001|15209*44252*001|15362*66600*001
3586	15148*71982*001|15330*29169*001
4089	15234*49608*001
4592	15340*52983*001
783	14555*71995*001|14822*47216*001|14965*43386*001|15327*52542*001|15330*58716*001|15332*62685*001
50	14354*56400*001|14483*46470*001|14845*43308*001|14964*59840*001|14985*67856*001|14997*40336*001|15014*58620*001|15184*27540*001|15314*69741*001|15353*59637*001
1072	14607*65304*001|14667*56400*001|14727*63076*001|14968*64170*001|14972*52046*001|15042*43308*001
1575	14714*62640*001|14743*28542*001|14774*65613*001|15120*65304*001|15267*27800*001
2078	14845*26709*001|14929*48597*001|14961*43743*001|14962*58108*001|15039*37272*001|15043*28218*001|15244*70050*001
2581	14957*43386*001|15180*60848*001|15226*35370*001|15372*38700*001
281	14426*34560*001|14601*68646*001|14602*28542*001|14673*38568*001|14736*61962*001|14840*52362*001|14974*42520*001|15191*31262*001|15327*52983*001|15340*48132*001
3084	15031*45252*001|15200*69400*001|15296*27540*001
3587	15149*33708*001|15351*52573*001
4090	15234*53676*001
4593	15340*53424*001
51	14354*72000*001|14533*60300*001|14649*62145*001|14705*64980*001|14748*28542*001|14804*55472*001|14947*67634*001|14950*35592*001|15005*65104*001|15034*61962*001|15059*65943*001|15203*35592*001|15314*50778*001
784	14556*38570*001|14709*29880*001|14723*64980*001|14931*71994*001|14956*57242*001|15332*68418*001
1073	14607*68646*001|15106*41910*001|15141*61359*001|15366*46800*001
1576	14714*67320*001|14765*47480*001|14951*39922*001|15137*52851*001|15310*29880*001|15336*43554*001
2079	14845*29727*001|14965*40788*001|15064*64434*001|15306*36340*001|15312*46809*001
2582	14957*51180*001|15076*53607*001|15315*26082*001|15372*41400*001
282	14426*43920*001|14447*62640*001|14598*71988*001|14604*68646*001|14716*43920*001|14749*54000*001|14818*55472*001|14864*52500*001|15199*32128*001|15332*56511*001|15333*70182*001|15344*67500*001
3085	15031*48594*001|15051*43920*001|15086*41910*001|15129*33708*001|15145*61359*001|15311*57393*001|15337*39753*001
3588	15149*35835*001|15196*47300*001|15212*60050*001
4091	15234*61812*001|15316*30007*001
4594	15340*60039*001
52	14355*48600*001|14417*40800*001|14832*67598*001|14973*30396*001|15167*72000*001|15180*36340*001|15327*45486*001|15333*60039*001
785	14556*58625*001|14716*72000*001|14765*54164*001|15020*58620*001|15238*38850*001|15346*39600*001|15363*44626*001
1074	14607*71988*001|14624*28800*001|14641*43200*001|14715*43024*001|14834*46326*001|14974*65036*001|15045*35763*001|15060*47835*001|15111*31884*001|15145*37962*001|15362*42300*001
1577	14715*38568*001|14968*45984*001|14976*67584*001|14990*69158*001|15016*71988*001|15078*70317*001|15213*54644*001
2080	14845*40290*001|14938*45252*001|15198*34726*001|15316*55353*001|15325*66213*001
2583	14957*55510*001|15212*32850*001|15338*63126*001
283	14426*62640*001|14470*39240*001|14573*65310*001|14721*27540*001|14783*29656*001|14784*54164*001|14830*41799*001|14927*40089*001|14970*51180*001|15031*38568*001|15077*70317*001|15214*63304*001|15330*66654*001
3086	15031*55278*001|15315*70182*001
3589	15149*37962*001|15320*35784*001
4092	15235*29100*001|15316*38747*001|15332*65772*001|15351*56988*001
4595	15340*60480*001
53	14355*72000*001|14463*50724*001|14578*38570*001|14654*59000*001|14868*50550*001|14884*67914*001|15186*39240*001|15210*36458*001|15351*68467*001|15353*50807*001
786	14556*65310*001|14634*61200*001|14832*32510*001|14883*68100*001|14944*48597*001|14962*42520*001|15060*35763*001|15065*28218*001|15092*36491*001|15093*36897*001|15341*59157*001|15362*43200*001
1075	14608*28542*001|14844*65943*001|15080*33555*001|15166*47480*001|15229*33000*001|15322*30492*001|15357*26966*001
1578	14715*49708*001|14753*38568*001|14776*43024*001|14815*69232*001|14835*29727*001|14903*50724*001|14962*30396*001|15071*28426*001|15139*52851*001|15269*64200*001
2081	14845*41799*001|14950*58108*001|15359*45509*001
2584	14957*61572*001|15038*29727*001|15131*59232*001|15244*27150*001|15296*57960*001|15356*45900*001|15370*29700*001
284	14426*72000*001|14431*72000*001|14540*48600*001|14553*31885*001|14726*34560*001|14760*45252*001|15022*56949*001|15119*43200*001|15152*44343*001|15312*49014*001
3087	15031*56949*001|15081*31884*001|15285*49708*001|15336*70211*001|15358*55800*001
3590	15149*40089*001
4093	15235*34950*001
4596	15340*61803*001
787	14556*71995*001|14715*65304*001|14786*69760*001|14952*52046*001|15096*66975*001|15183*38568*001|15210*42520*001
54	14356*40800*001|14399*48600*001|14401*53280*001|14460*46470*001|14575*65310*001|14611*46800*001|14688*71988*001|14852*49344*001|14996*52142*001|15010*68646*001|15331*46176*001|15339*46809*001
1076	14608*31884*001|14622*39600*001|14782*65304*001|15078*26871*001|15216*65150*001|15316*71085*001
1579	14715*54164*001|14964*43386*001|15333*27846*001|15359*34030*001
2082	14845*44817*001|14971*68500*001|14983*29328*001|15086*63633*001|15091*40239*001|15189*31262*001|15325*39753*001|15331*60160*001
2585	14957*66768*001|14997*36208*001|15195*42520*001|15337*45927*001|15349*38445*001
285	14427*72000*001|14530*42750*001|15316*59723*001
3088	15031*66975*001|15090*33555*001|15315*43722*001|15330*59598*001|15364*44100*001
3591	15149*57105*001|15195*39056*001|15323*42840*001|15332*64890*001
4094	15235*38850*001
4597	15340*65331*001|15354*32400*001
55	14356*56400*001|14691*58620*001|14763*58620*001|14797*30704*001|14845*38781*001|14852*58398*001|14882*44700*001|14981*60976*001|15196*26050*001|15316*35251*001
788	14557*38570*001|14592*55278*001|14773*63076*001|15020*41910*001|15175*58620*001|15176*56392*001|15194*55510*001|15205*52912*001
1077	14608*35226*001|14660*67071*001|14701*64800*001|15347*56105*001
1580	14715*60848*001|14737*61200*001|14757*68400*001|14928*63076*001|15062*40290*001|15084*31652*001|15284*53280*001|15344*58500*001
2083	14845*55380*001|14922*31581*001|14985*29328*001|14986*70576*001|15091*48594*001|15244*44700*001|15353*52573*001|15362*50400*001|15363*34030*001
2586	14957*67634*001|15038*53871*001|15073*63633*001|15311*30492*001|15328*63567*001
286	14427*34560*001|14578*51940*001|14955*41654*001|15021*57460*001|15148*51642*001|15191*44252*001|15260*55472*001|15328*30492*001
3089	15031*68646*001
3592	15149*63486*001|15213*38190*001
4095	15235*44700*001|15332*49896*001|15357*58754*001
4598	15340*65772*001
56	14356*72000*001|14416*72000*001|14438*33000*001|14468*33708*001|14709*57960*001|15004*26618*001
789	14557*51940*001|14839*26709*001|14857*44700*001|14894*63486*001|14964*49448*001|15036*48600*001|15100*45252*001|15327*64890*001
1078	14608*38568*001|14864*48600*001|14865*62250*001|14929*46470*001|14949*63304*001|14950*54644*001|14994*37962*001|14999*54096*001|15220*71982*001
1581	14715*63076*001|14928*60848*001|15000*62068*001|15081*60291*001|15181*60300*001|15193*40788*001|15275*47216*001|15296*32220*001
2084	14845*61416*001|14941*48597*001|15177*48600*001
2587	14957*70232*001|15028*56949*001|15077*56949*001|15165*41580*001|15180*51936*001
287	14427*53280*001|14460*50724*001|14547*42750*001|14643*48600*001|14655*54756*001|14829*58398*001|14961*55222*001|14969*38190*001|15163*47480*001
3090	15032*28426*001|15233*52500*001|15238*70050*001|15338*45927*001
3593	15150*48597*001|15199*61572*001|15222*33336*001|15321*64967*001|15369*48158*001
4096	15235*64200*001|15264*58224*001
4599	15341*34902*001
57	14357*40800*001|14398*72000*001|14485*59232*001|14504*35600*001|14663*44904*001|14744*54000*001|14843*28218*001|14912*37962*001|14976*30498*001|14986*57814*001|15337*30492*001
790	14557*65310*001|14654*38200*001|14682*61200*001|14719*67320*001|14722*49708*001|14854*65943*001|14944*50724*001|14990*62068*001|15178*27428*001|15315*52542*001|15328*36225*001
1079	14608*45252*001|14693*35226*001|14876*70050*001|14926*61359*001|14956*45118*001|14982*71994*001|15105*64800*001|15212*49000*001
1582	14715*67532*001|14827*46326*001|14926*37962*001
2085	14846*28124*001|14878*64200*001|14976*52573*001|15318*71064*001|15363*69350*001
2588	14958*47716*001|15322*37989*001
288	14427*72000*001|14681*31884*001|14879*29100*001|14979*37584*001|15331*39184*001
3091	15032*41330*001|15042*65943*001|15061*45480*001|15159*38568*001|15254*66800*001|15285*69760*001|15349*71999*001
3594	15150*50724*001|15255*49968*001|15322*52542*001
4097	15236*33000*001|15358*61200*001
4600	15341*36666*001|15343*68467*001
58	14357*56400*001|14489*72000*001|14588*61962*001|14618*61200*001|14777*47480*001|14835*71979*001|14972*66768*001|14974*45984*001|15024*36897*001|15041*29880*001|15202*55510*001|15236*27150*001|15263*33000*001|15315*60480*001|15331*42680*001
791	14557*71995*001|14649*32589*001|14685*31884*001|14744*39600*001|14791*45252*001|14936*63486*001|14938*40796*001|14950*49448*001|14975*43386*001|15132*54978*001|15317*49455*001|15353*47275*001
1080	14608*48594*001|14681*51936*001|14715*56392*001|15131*48597*001|15231*58350*001
1583	14715*69760*001|14795*69232*001|14826*50853*001|15056*53280*001|15081*61962*001|15208*39650*001|15218*38190*001
2086	14846*32510*001
2589	14959*26932*001|15083*50265*001|15173*31884*001|15191*52046*001|15212*33700*001|15309*32220*001|15323*57834*001
289	14428*72000*001|14647*32589*001|14649*54756*001|14835*38781*001|14847*34254*001|14897*46470*001|14919*50724*001|14973*35592*001|15047*53871*001|15199*35592*001|15333*50337*001
3092	15032*68751*001|15182*56392*001|15185*45252*001|15246*33000*001|15306*54164*001|15329*27846*001
3595	15150*52851*001
4098	15236*38850*001|15270*41712*001|15336*38747*001|15399*28800*001
4601	15341*40194*001
792	14558*31885*001|15193*38190*001|15370*45900*001
59	14357*72000*001|14722*63076*001|14730*43920*001|14811*39825*001|14829*32745*001|14952*29530*001|14976*56105*001|15043*46326*001|15207*32994*001|15217*46850*001|15361*71116*001|15367*37562*001
1081	14608*68646*001|14670*30400*001|14730*62640*001|14932*42216*001|14983*38960*001|14991*52720*001|15131*52851*001|15195*58974*001|15323*37548*001|15377*46800*001
1584	14716*27540*001|14817*51525*001|14826*28218*001|14829*35763*001|14837*42744*001|14855*59778*001|14926*35835*001|14931*48597*001|15196*43050*001|15314*44604*001|15340*46368*001
2087	14846*33972*001|14870*47574*001|15220*33336*001|15358*45000*001|15372*50400*001
2590	14959*27798*001|15018*36491*001|15113*31884*001
290	14429*33000*001|14657*47367*001|14703*34560*001|14720*40796*001|14766*50724*001|14911*37962*001|15067*61962*001|15196*65150*001|15314*37989*001
3093	15033*71988*001
3596	15150*54978*001|15170*36340*001
4099	15236*46650*001|15322*64449*001|15385*48594*001
4602	15341*55188*001|15394*46800*001
60	14358*40800*001|14420*33000*001|14630*54000*001|14645*27800*001|14714*46260*001|14734*58620*001|14883*48600*001
793	14558*38570*001|14588*35226*001|14691*48594*001|14785*61359*001|14920*58620*001|14939*69867*001|15022*68646*001|15031*28542*001|15145*44343*001|15302*67320*001|15337*63567*001
1082	14609*31884*001|14618*64800*001|14665*47367*001|14717*27540*001|14852*61416*001|14911*71994*001|14929*29454*001|15071*55847*001|15105*68400*001|15111*68646*001|15335*67977*001|15342*40500*001
1585	14716*34560*001|14775*63076*001|15009*65304*001|15312*52101*001
2088	14846*52978*001|14941*63486*001|14974*34726*001|15054*58398*001|15062*28218*001|15076*70317*001|15091*58620*001|15262*71984*001|15323*55629*001|15340*39753*001
2591	14959*33860*001|15063*59907*001|15275*38960*001
291	14429*40800*001|14479*37962*001|14504*40800*001|14596*65304*001|14859*62250*001|15064*50853*001|15314*28728*001
3094	15034*28542*001|15068*35226*001|15243*39438*001|15317*60039*001
3597	15150*59232*001|15265*72000*001|15334*59598*001
4100	15236*66150*001|15324*38430*001
4603	15341*56070*001
61	14358*56400*001|14391*36900*001|14412*64200*001|14565*51940*001|14612*68400*001|14844*41799*001|14970*34726*001|15338*44163*001
794	14558*45255*001|14649*47367*001|14967*29530*001|14980*28036*001|15149*31581*001|15256*69400*001|15343*40211*001
1083	14609*41910*001|14723*72000*001|14725*45252*001|14882*72000*001|14988*47888*001
1586	14716*50940*001|14833*32745*001|14917*71994*001|15275*44464*001
2089	14846*54440*001|14898*54978*001|14970*30396*001|15053*50853*001|15156*69867*001|15191*36458*001
2592	14959*39056*001|15043*32745*001|15073*68646*001|15346*60300*001
292	14429*64200*001|14537*72000*001|14631*51936*001|14725*71988*001|14873*33336*001|14919*63486*001|14944*46470*001|15071*34878*001|15129*52851*001|15132*40089*001|15190*29530*001|15225*40800*001|15316*65841*001
3095	15034*35226*001|15127*41910*001|15304*67532*001
3598	15150*69867*001|15169*62640*001|15271*69232*001
4101	15237*29268*001|15315*51219*001
4604	15341*60039*001
62	14358*72000*001|14580*36000*001|14592*58620*001|14697*48594*001|14714*48600*001|15026*33555*001|15068*33555*001|15229*36900*001
795	14559*33000*001|14827*28218*001|15009*50265*001|15177*29880*001|15312*54747*001|15348*45900*001
1084	14609*55278*001|14639*28800*001|14833*43308*001|15081*70317*001|15333*33579*001
1587	14717*29880*001|14852*68961*001|14965*26932*001|14974*55510*001|15056*33000*001|15331*38747*001
2090	14846*61750*001|14877*45540*001|15338*28728*001
2593	14959*62438*001|14997*51344*001|15099*43200*001
293	14429*72000*001|14556*45255*001|14665*69534*001|14850*33972*001|14859*66150*001|14957*58108*001|15322*57393*001
3096	15034*66975*001|15274*64200*001|15366*42300*001
3599	15151*46470*001|15336*47487*001|15358*72000*001
4102	15237*39438*001|15335*69741*001
4605	15341*71946*001
63	14359*48600*001|14405*64200*001|14426*53280*001|14731*29880*001|14760*68646*001|14763*71988*001|14925*34112*001|14983*71984*001|15049*53871*001|15108*61200*001|15148*65880*001|15191*50314*001|15224*55710*001
796	14559*40800*001|14778*27327*001|14804*49968*001|14848*67452*001|14931*42216*001|14953*38190*001|15000*70576*001|15329*39312*001|15349*32264*001|15395*41910*001
1085	14609*71988*001|14656*51200*001|14766*35835*001|14815*66480*001|14844*53871*001|14851*38781*001|15034*41910*001|15356*50400*001
1588	14717*43920*001|14774*69867*001|14873*35370*001|14930*69760*001|14967*39056*001|15021*51008*001|15187*69760*001|15225*42750*001|15306*63076*001|15317*29169*001
2091	14847*29727*001|14920*29656*001|15017*30213*001|15366*26100*001
2594	14959*65902*001|15064*67452*001
294	14430*62640*001|14464*43920*001|14769*47480*001|14939*65613*001|15323*27405*001
3097	15034*70317*001|15319*40635*001|15337*52983*001|15353*33147*001|15378*51936*001
3600	15151*61359*001|15247*27234*001|15313*70623*001|15318*49455*001
4103	15237*45540*001|15334*32256*001|15338*58716*001
4606	15342*72000*001
64	14359*72000*001|14491*30400*001|14859*58350*001|14927*69867*001|14949*67634*001|15010*36897*001|15022*66975*001|15191*40788*001|15194*59840*001|15199*70232*001|15235*58350*001|15341*44604*001
797	14560*31885*001|14768*56392*001|14785*37962*001|15165*39240*001|15241*49608*001|15324*29169*001
1086	14610*28800*001|14704*38568*001|14746*51936*001|14968*40788*001|14972*45118*001|15012*58620*001|15101*61200*001|15326*26074*001|15329*63567*001
1589	14717*46260*001|14819*58224*001|14841*50054*001|15362*61200*001
2092	14847*37272*001|14951*60706*001|15197*70232*001|15246*72000*001|15292*58620*001
2595	14960*31262*001|15367*46392*001
295	14430*72000*001|14490*56400*001|14740*50400*001|14907*42216*001|14927*42216*001|14961*60520*001|15004*36544*001|15024*58620*001|15048*56889*001
3098	15035*48594*001|15296*69660*001
3601	15152*27327*001|15316*46176*001|15338*48132*001
4104	15237*69948*001|15321*62782*001
4607	15342*26100*001
65	14360*40800*001|14473*71994*001|14476*67320*001|14497*40800*001|14549*45255*001|14824*34254*001|14832*57364*001|14905*37962*001|14965*65902*001|15014*36897*001|15071*54234*001|15084*71977*001|15303*72000*001|15312*40635*001
798	14560*38570*001|15075*46169*001|15173*71988*001|15216*68550*001|15292*67532*001
1087	14610*32400*001|14651*33000*001|14775*65304*001|14852*62925*001|15210*39922*001|15288*72000*001|15324*40194*001|15334*62244*001
1590	14717*72000*001|14779*27428*001|15024*31884*001|15140*48597*001|15216*71950*001|15319*60921*001|15322*45045*001
2093	14847*41799*001|14937*40089*001|14975*39056*001|15024*60291*001|15190*50314*001|15296*41580*001|15315*53865*001|15323*43281*001|15330*67536*001|15335*58275*001
2596	14960*39056*001|14982*37962*001|15012*60291*001|15263*64200*001|15321*33503*001
296	14431*33000*001|15016*36897*001|15187*27428*001|15337*33579*001
3099	15035*56949*001|15216*28600*001
3602	15152*37962*001|15191*32128*001|15321*61034*001|15369*70233*001
4105	15238*27150*001
4608	15342*27000*001
66	14360*56400*001|14485*33708*001|14511*56400*001|14626*61200*001|14660*42441*001|14788*45252*001|14825*41799*001|14992*28036*001|15051*53280*001|15092*28426*001|15245*27234*001
